Sector,Service_Name,Target_Audience,Service_Description,Service_Steps,Requirements,Service_Fees,Official_URL,RAG_Content
الجوازات,نقل الخدمات (أبشر أعمال),قطاع الأعمال,تمكن صاحب المنشأة من نقل خدمات العامل (كفالة) إليه إلكترونياً بعد موافقة الطرفين.,1. الدخول لأبشر أعمال;2. خدمات أعمالي;3. نقل الخدمات;4. طلب نقل خدمات عامل;5. موافقة صاحب العمل الحالي والعامل.,سداد رسوم النقل، موافقة جميع الأطراف، عدم وجود مخالفات على المنشأة أو العامل.,2000 ريال (للمرة الأولى),https://my.gov.sa/ar/services/487328,"اسم الخدمة: نقل الخدمات (أبشر أعمال)
القطاع: الجوازات
الفئة المستهدفة: قطاع الأعمال
وصف الخدمة: تمكن صاحب المنشأة من نقل خدمات العامل (كفالة) إليه إلكترونياً بعد موافقة الطرفين.
خطوات الخدمة: 1. الدخول لأبشر أعمال;2. خدمات أعمالي;3. نقل الخدمات;4. طلب نقل خدمات عامل;5. موافقة صاحب العمل الحالي والعامل.
المستندات المطلوبة: سداد رسوم النقل، موافقة جميع الأطراف، عدم وجود مخالفات على المنشأة أو العامل.
رسوم الخدمة: 2000 ريال (للمرة الأولى)
الرابط الرسمي: https://my.gov.sa/ar/services/487328"
الجوازات,تأشيرة الخروج النهائي (فترة التجربة),أفراد وأعمال,إصدار تأشيرة خروج نهائي للعامل خلال أول 90 يوماً من دخوله المملكة دون رسوم إضافية.,1. الدخول لأبشر (أفراد أو أعمال);2. خدمات العمالة;3. تأشيرة الخروج النهائي;4. اختيار العامل خلال فترة التجربة.,أن يكون العامل في فترة التجربة (90 يوماً)، عدم إصدار إقامة له بعد، عدم وجود مخالفات.,مجانية,https://my.gov.sa/ar/services/484600,"اسم الخدمة: تأشيرة الخروج النهائي (فترة التجربة)
القطاع: الجوازات
الفئة المستهدفة: أفراد وأعمال
وصف الخدمة: إصدار تأشيرة خروج نهائي للعامل خلال أول 90 يوماً من دخوله المملكة دون رسوم إضافية.
خطوات الخدمة: 1. الدخول لأبشر (أفراد أو أعمال);2. خدمات العمالة;3. تأشيرة الخروج النهائي;4. اختيار العامل خلال فترة التجربة.
المستندات المطلوبة: أن يكون العامل في فترة التجربة (90 يوماً)، عدم إصدار إقامة له بعد، عدم وجود مخالفات.
رسوم الخدمة: مجانية
الرابط الرسمي: https://my.gov.sa/ar/services/484600"
وزارة الداخلية,تصريح السفر الاستثنائي,أفراد,طلب الحصول على تصريح سفر للخارج في الحالات الاستثنائية التي تقرها الجهات المختصة.,1. الدخول لأبشر;2. خدماتي ثم الجوازات;3. مركز الرسائل والطلبات;4. طلب تصريح سفر استثنائي وإرفاق المبررات.,وجود مبررات قوية (مرض، دراسة، مهام رسمية)، إرفاق الوثائق الداعمة.,مجانية,https://my.gov.sa/ar/services/538808,"اسم الخدمة: تصريح السفر الاستثنائي
القطاع: وزارة الداخلية
الفئة المستهدفة: أفراد
وصف الخدمة: طلب الحصول على تصريح سفر للخارج في الحالات الاستثنائية التي تقرها الجهات المختصة.
خطوات الخدمة: 1. الدخول لأبشر;2. خدماتي ثم الجوازات;3. مركز الرسائل والطلبات;4. طلب تصريح سفر استثنائي وإرفاق المبررات.
المستندات المطلوبة: وجود مبررات قوية (مرض، دراسة، مهام رسمية)، إرفاق الوثائق الداعمة.
رسوم الخدمة: مجانية
الرابط الرسمي: https://my.gov.sa/ar/services/538808"
وزارة الداخلية,استعلام عن صلاحية التأمين الطبي,أفراد (مقيمين),خدمة تتيح التأكد من وجود تأمين طبي ساري المفعول للمقيمين، وهو شرط أساسي لتجديد الإقامة.,1. الدخول لأبشر;2. استعلامات;3. الاستعلام عن صلاحية التأمين الطبي للمقيمين;4. إدخال رقم الإقامة والرمز المرئي.,توفر رقم الإقامة.,مجانية,https://my.gov.sa/ar/services/538811,"اسم الخدمة: استعلام عن صلاحية التأمين الطبي
القطاع: وزارة الداخلية
الفئة المستهدفة: أفراد (مقيمين)
وصف الخدمة: خدمة تتيح التأكد من وجود تأمين طبي ساري المفعول للمقيمين، وهو شرط أساسي لتجديد الإقامة.
خطوات الخدمة: 1. الدخول لأبشر;2. استعلامات;3. الاستعلام عن صلاحية التأمين الطبي للمقيمين;4. إدخال رقم الإقامة والرمز المرئي.
المستندات المطلوبة: توفر رقم الإقامة.
رسوم الخدمة: مجانية
الرابط الرسمي: https://my.gov.sa/ar/services/538811"
وزارة الداخلية,أبشر سفر,أفراد,تجهيز إجراءات السفر والتحقق من المتطلبات قبل الوصول للمنافذ البرية لتقليل وقت الانتظار.,1. الدخول لتطبيق أبشر;2. اختيار أبشر سفر;3. تحديد المنفذ والمسافرين;4. تأكيد الطلب قبل الوصول للمنفذ.,وجود جواز سفر ساري، تأمين سفر (إن لزم)، تنفيذ الطلب قبل الوصول للمنفذ بفترة وجيزة.,مجانية,https://my.gov.sa/ar/services/538814,"اسم الخدمة: أبشر سفر
القطاع: وزارة الداخلية
الفئة المستهدفة: أفراد
وصف الخدمة: تجهيز إجراءات السفر والتحقق من المتطلبات قبل الوصول للمنافذ البرية لتقليل وقت الانتظار.
خطوات الخدمة: 1. الدخول لتطبيق أبشر;2. اختيار أبشر سفر;3. تحديد المنفذ والمسافرين;4. تأكيد الطلب قبل الوصول للمنفذ.
المستندات المطلوبة: وجود جواز سفر ساري، تأمين سفر (إن لزم)، تنفيذ الطلب قبل الوصول للمنفذ بفترة وجيزة.
رسوم الخدمة: مجانية
الرابط الرسمي: https://my.gov.sa/ar/services/538814"
الجوازات,تعديل المهنة (أبشر أعمال),قطاع الأعمال,تمكن صاحب المنشأة من تعديل المسمى الوظيفي للعاملين لديه إلكترونياً بعد موافقة الجهات المختصة.,1. الدخول لأبشر أعمال;2. اختيار خدمات أعمالي;3. اختيار تعديل المهنة;4. اختيار العامل وإدخال المهنة الجديدة والتأكيد.,موافقة وزارة الموارد البشرية، سداد الرسوم، عدم وجود مخالفات مرورية.,1000 ريال,https://my.gov.sa/ar/services/487331,"اسم الخدمة: تعديل المهنة (أبشر أعمال)
القطاع: الجوازات
الفئة المستهدفة: قطاع الأعمال
وصف الخدمة: تمكن صاحب المنشأة من تعديل المسمى الوظيفي للعاملين لديه إلكترونياً بعد موافقة الجهات المختصة.
خطوات الخدمة: 1. الدخول لأبشر أعمال;2. اختيار خدمات أعمالي;3. اختيار تعديل المهنة;4. اختيار العامل وإدخال المهنة الجديدة والتأكيد.
المستندات المطلوبة: موافقة وزارة الموارد البشرية، سداد الرسوم، عدم وجود مخالفات مرورية.
رسوم الخدمة: 1000 ريال
الرابط الرسمي: https://my.gov.sa/ar/services/487331"
وزارة الداخلية,الهوية الرقمية,أفراد,نسخة رقمية آمنة للهوية الوطنية أو هوية مقيم عبر تطبيق أبشر تغني عن حمل الوثيقة المادية.,1. تحميل تطبيق أبشر;2. تسجيل الدخول;3. اختيار خدماتي ثم الهوية الرقمية;4. تفعيل الهوية على الجهاز.,حساب مفعل في أبشر، تطبيق أبشر على هاتف ذكي.,مجانية,https://my.gov.sa/ar/services/538785,"اسم الخدمة: الهوية الرقمية
القطاع: وزارة الداخلية
الفئة المستهدفة: أفراد
وصف الخدمة: نسخة رقمية آمنة للهوية الوطنية أو هوية مقيم عبر تطبيق أبشر تغني عن حمل الوثيقة المادية.
خطوات الخدمة: 1. تحميل تطبيق أبشر;2. تسجيل الدخول;3. اختيار خدماتي ثم الهوية الرقمية;4. تفعيل الهوية على الجهاز.
المستندات المطلوبة: حساب مفعل في أبشر، تطبيق أبشر على هاتف ذكي.
رسوم الخدمة: مجانية
الرابط الرسمي: https://my.gov.sa/ar/services/538785"
وزارة الداخلية,الاستعلام عن أحقية القيام بالحج,أفراد,استعلام فوري يمكن المواطن والمقيم من معرفة أهليته لأداء فريضة الحج وفقاً لنظام (مرة كل 5 سنوات).,1. الدخول لأبشر;2. استعلامات ثم خدمات الحج;3. الاستعلام عن أحقية الحج;4. إدخال رقم الهوية.,توفر رقم الهوية/الإقامة.,مجانية,https://my.gov.sa/ar/services/538742,"اسم الخدمة: الاستعلام عن أحقية القيام بالحج
القطاع: وزارة الداخلية
الفئة المستهدفة: أفراد
وصف الخدمة: استعلام فوري يمكن المواطن والمقيم من معرفة أهليته لأداء فريضة الحج وفقاً لنظام (مرة كل 5 سنوات).
خطوات الخدمة: 1. الدخول لأبشر;2. استعلامات ثم خدمات الحج;3. الاستعلام عن أحقية الحج;4. إدخال رقم الهوية.
المستندات المطلوبة: توفر رقم الهوية/الإقامة.
رسوم الخدمة: مجانية
الرابط الرسمي: https://my.gov.sa/ar/services/538742"
الجوازات,الاستعلام عن سجل السفر,أفراد,تتيح للمستفيد استعراض تفاصيل جميع رحلات السفر الدولية (مغادرة وقدوم) المسجلة باسمه.,1. الدخول لأبشر;2. استعلامات ثم الجوازات;3. الاستعلام عن سجل السفر;4. تحديد الفترة الزمنية والاستعراض.,حساب مفعل في أبشر.,مجانية,https://my.gov.sa/ar/services/538708,"اسم الخدمة: الاستعلام عن سجل السفر
القطاع: الجوازات
الفئة المستهدفة: أفراد
وصف الخدمة: تتيح للمستفيد استعراض تفاصيل جميع رحلات السفر الدولية (مغادرة وقدوم) المسجلة باسمه.
خطوات الخدمة: 1. الدخول لأبشر;2. استعلامات ثم الجوازات;3. الاستعلام عن سجل السفر;4. تحديد الفترة الزمنية والاستعراض.
المستندات المطلوبة: حساب مفعل في أبشر.
رسوم الخدمة: مجانية
الرابط الرسمي: https://my.gov.sa/ar/services/538708"
المرور,الاستعلام عن المخالفات (غير المسددة),أفراد وأعمال,خدمة تتيح استعراض تفاصيل كافة المخالفات المرورية المسجلة على الهوية أو المركبة والتي لم تسدد بعد.,1. الدخول لأبشر;2. استعلامات ثم المرور;3. الاستعلام عن المخالفات غير المسددة;4. استعراض التفاصيل والمواقع.,توفر رقم الهوية أو رقم المخالفة.,مجانية (للاستعلام),https://my.gov.sa/ar/services/538690,"اسم الخدمة: الاستعلام عن المخالفات (غير المسددة)
القطاع: المرور
الفئة المستهدفة: أفراد وأعمال
وصف الخدمة: خدمة تتيح استعراض تفاصيل كافة المخالفات المرورية المسجلة على الهوية أو المركبة والتي لم تسدد بعد.
خطوات الخدمة: 1. الدخول لأبشر;2. استعلامات ثم المرور;3. الاستعلام عن المخالفات غير المسددة;4. استعراض التفاصيل والمواقع.
المستندات المطلوبة: توفر رقم الهوية أو رقم المخالفة.
رسوم الخدمة: مجانية (للاستعلام)
الرابط الرسمي: https://my.gov.sa/ar/services/538690"
المرور,الاستعلام عن المركبات المحجوزة,أفراد,تمكن مالك المركبة من معرفة مكان حجز مركبته في حال تم سحبها أو حجزها من قبل المرور.,1. الدخول لأبشر;2. استعلامات ثم المرور;3. الاستعلام عن المركبات المحجوزة;4. عرض اسم الحجز وموقعه.,ملكية المركبة المسجلة في النظام.,مجانية,https://my.gov.sa/ar/services/538693,"اسم الخدمة: الاستعلام عن المركبات المحجوزة
القطاع: المرور
الفئة المستهدفة: أفراد
وصف الخدمة: تمكن مالك المركبة من معرفة مكان حجز مركبته في حال تم سحبها أو حجزها من قبل المرور.
خطوات الخدمة: 1. الدخول لأبشر;2. استعلامات ثم المرور;3. الاستعلام عن المركبات المحجوزة;4. عرض اسم الحجز وموقعه.
المستندات المطلوبة: ملكية المركبة المسجلة في النظام.
رسوم الخدمة: مجانية
الرابط الرسمي: https://my.gov.sa/ar/services/538693"
المرور,الاستعلام عن وثيقة تأمين المركبة,أفراد,التأكد من سريان وصلاحية وثيقة التأمين على المركبة المسجلة في سجلات وزارة الداخلية.,1. الدخول لأبشر;2. استعلامات ثم المرور;3. الاستعلام عن وثيقة تأمين مركبة;4. إدخال رقم اللوحة والهوية.,توفر رقم الهوية ورقم اللوحة.,مجانية,https://my.gov.sa/ar/services/538696,"اسم الخدمة: الاستعلام عن وثيقة تأمين المركبة
القطاع: المرور
الفئة المستهدفة: أفراد
وصف الخدمة: التأكد من سريان وصلاحية وثيقة التأمين على المركبة المسجلة في سجلات وزارة الداخلية.
خطوات الخدمة: 1. الدخول لأبشر;2. استعلامات ثم المرور;3. الاستعلام عن وثيقة تأمين مركبة;4. إدخال رقم اللوحة والهوية.
المستندات المطلوبة: توفر رقم الهوية ورقم اللوحة.
رسوم الخدمة: مجانية
الرابط الرسمي: https://my.gov.sa/ar/services/538696"
وزارة الداخلية,تفويض مراجعة قطاع,أفراد,تمكن المستفيد من تفويض شخص آخر لمراجعة أحد قطاعات الوزارة (جوازات، أحوال) لإنهاء معاملة محددة.,1. الدخول لأبشر;2. اختيار التفاويض;3. تفويض مراجعة قطاع;4. اختيار القطاع ونوع الخدمة وبيانات المفوض له.,تسجيل الطرفين في أبشر، تحديد الخدمة بدقة.,مجانية,https://my.gov.sa/ar/services/538669,"اسم الخدمة: تفويض مراجعة قطاع
القطاع: وزارة الداخلية
الفئة المستهدفة: أفراد
وصف الخدمة: تمكن المستفيد من تفويض شخص آخر لمراجعة أحد قطاعات الوزارة (جوازات، أحوال) لإنهاء معاملة محددة.
خطوات الخدمة: 1. الدخول لأبشر;2. اختيار التفاويض;3. تفويض مراجعة قطاع;4. اختيار القطاع ونوع الخدمة وبيانات المفوض له.
المستندات المطلوبة: تسجيل الطرفين في أبشر، تحديد الخدمة بدقة.
رسوم الخدمة: مجانية
الرابط الرسمي: https://my.gov.sa/ar/services/538669"
الجوازات,الاستعلام عن معلومات الاستقدام,أفراد,تتيح للمستفيد الاستعلام عن الطلبات المقدمة لاستقدام أفراد الأسرة أو العمالة وحالة الطلب.,1. الدخول لأبشر;2. استعلامات ثم الجوازات;3. الاستعلام عن معلومات الاستقدام;4. إدخال رقم الطلب أو الهوية.,وجود طلب استقدام سابق.,مجانية,https://my.gov.sa/ar/services/538630,"اسم الخدمة: الاستعلام عن معلومات الاستقدام
القطاع: الجوازات
الفئة المستهدفة: أفراد
وصف الخدمة: تتيح للمستفيد الاستعلام عن الطلبات المقدمة لاستقدام أفراد الأسرة أو العمالة وحالة الطلب.
خطوات الخدمة: 1. الدخول لأبشر;2. استعلامات ثم الجوازات;3. الاستعلام عن معلومات الاستقدام;4. إدخال رقم الطلب أو الهوية.
المستندات المطلوبة: وجود طلب استقدام سابق.
رسوم الخدمة: مجانية
الرابط الرسمي: https://my.gov.sa/ar/services/538630"
الجوازات,تمديد تأشيرة خروج وعودة (خارج المملكة),أفراد وأعمال,تمكن أصحاب العمل ورب الأسرة من تمديد صلاحية التأشيرة لمن هم خارج المملكة إلكترونياً.,1. الدخول لأبشر;2. خدمات التأشيرات;3. اختيار الشخص (خارج المملكة);4. طلب تمديد التأشيرة وسداد الرسوم.,سريان الإقامة (أكثر من 90 يوماً)، سداد رسوم التمديد عبر سداد.,100 ريال (للمفردة),https://my.gov.sa/ar/services/538672,"اسم الخدمة: تمديد تأشيرة خروج وعودة (خارج المملكة)
القطاع: الجوازات
الفئة المستهدفة: أفراد وأعمال
وصف الخدمة: تمكن أصحاب العمل ورب الأسرة من تمديد صلاحية التأشيرة لمن هم خارج المملكة إلكترونياً.
خطوات الخدمة: 1. الدخول لأبشر;2. خدمات التأشيرات;3. اختيار الشخص (خارج المملكة);4. طلب تمديد التأشيرة وسداد الرسوم.
المستندات المطلوبة: سريان الإقامة (أكثر من 90 يوماً)، سداد رسوم التمديد عبر سداد.
رسوم الخدمة: 100 ريال (للمفردة)
الرابط الرسمي: https://my.gov.sa/ar/services/538672"
الجوازات,الاستعلام عن التأشيرات (برقم التأشيرة),أفراد,خدمة استعلامية مفتوحة للتحقق من صحة وصلاحية أي تأشيرة صادرة من الجوازات.,1. الدخول لمنصة أبشر (عام);2. استعلامات;3. الاستعلام عن التأشيرات;4. إدخال رقم التأشيرة ورقم الإقامة.,توفر رقم التأشيرة ورقم الهوية.,مجانية,https://my.gov.sa/ar/services/538633,"اسم الخدمة: الاستعلام عن التأشيرات (برقم التأشيرة)
القطاع: الجوازات
الفئة المستهدفة: أفراد
وصف الخدمة: خدمة استعلامية مفتوحة للتحقق من صحة وصلاحية أي تأشيرة صادرة من الجوازات.
خطوات الخدمة: 1. الدخول لمنصة أبشر (عام);2. استعلامات;3. الاستعلام عن التأشيرات;4. إدخال رقم التأشيرة ورقم الإقامة.
المستندات المطلوبة: توفر رقم التأشيرة ورقم الهوية.
رسوم الخدمة: مجانية
الرابط الرسمي: https://my.gov.sa/ar/services/538633"
الجوازات,تحديث بيانات الجواز (نقل معلومات),أفراد (أصحاب عمل),تمكن من تحديث بيانات جواز السفر الجديد للمقيم (أفراد أسرة أو عمالة) وربطها بالهوية آلياً.,1. الدخول لأبشر;2. خدماتي ثم الجوازات;3. تحديث بيانات جواز سفر المقيمين;4. إدخال بيانات الجواز الجديد والتأكيد.,وجود المقيم داخل المملكة، ألا يكون الجواز القديم مفقوداً.,مجانية,https://my.gov.sa/ar/services/538675,"اسم الخدمة: تحديث بيانات الجواز (نقل معلومات)
القطاع: الجوازات
الفئة المستهدفة: أفراد (أصحاب عمل)
وصف الخدمة: تمكن من تحديث بيانات جواز السفر الجديد للمقيم (أفراد أسرة أو عمالة) وربطها بالهوية آلياً.
خطوات الخدمة: 1. الدخول لأبشر;2. خدماتي ثم الجوازات;3. تحديث بيانات جواز سفر المقيمين;4. إدخال بيانات الجواز الجديد والتأكيد.
المستندات المطلوبة: وجود المقيم داخل المملكة، ألا يكون الجواز القديم مفقوداً.
رسوم الخدمة: مجانية
الرابط الرسمي: https://my.gov.sa/ar/services/538675"
الجوازات,تقرير مقيم,أفراد وأعمال,إصدار تقرير رسمي مفصل يحتوي على البيانات الشخصية والتأشيرات والتابعين للمقيم لتقديمه للجهات الرسمية.,1. الدخول لأبشر;2. الخدمات العامة;3. تقارير أبشر;4. طلب تقرير مقيم وسداد الرسوم;5. عرض وتحميل التقرير.,سداد المقابل المالي للتقرير، حساب أبشر فعال.,100 ريال,https://my.gov.sa/ar/services/538678,"اسم الخدمة: تقرير مقيم
القطاع: الجوازات
الفئة المستهدفة: أفراد وأعمال
وصف الخدمة: إصدار تقرير رسمي مفصل يحتوي على البيانات الشخصية والتأشيرات والتابعين للمقيم لتقديمه للجهات الرسمية.
خطوات الخدمة: 1. الدخول لأبشر;2. الخدمات العامة;3. تقارير أبشر;4. طلب تقرير مقيم وسداد الرسوم;5. عرض وتحميل التقرير.
المستندات المطلوبة: سداد المقابل المالي للتقرير، حساب أبشر فعال.
رسوم الخدمة: 100 ريال
الرابط الرسمي: https://my.gov.sa/ar/services/538678"
الجوازات,الاستعلام عن وصول العمالة,أفراد (أصحاب عمل),تتيح لصاحب العمل معرفة ما إذا كان العامل الجديد قد دخل أراضي المملكة عبر المنافذ أم لا.,1. الدخول لأبشر;2. استعلامات ثم الجوازات;3. الاستعلام عن وصول العمالة;4. إدخال رقم الحدود أو رقم الهوية.,توفر رقم الحدود للعامل الجديد.,مجانية,https://my.gov.sa/ar/services/538651,"اسم الخدمة: الاستعلام عن وصول العمالة
القطاع: الجوازات
الفئة المستهدفة: أفراد (أصحاب عمل)
وصف الخدمة: تتيح لصاحب العمل معرفة ما إذا كان العامل الجديد قد دخل أراضي المملكة عبر المنافذ أم لا.
خطوات الخدمة: 1. الدخول لأبشر;2. استعلامات ثم الجوازات;3. الاستعلام عن وصول العمالة;4. إدخال رقم الحدود أو رقم الهوية.
المستندات المطلوبة: توفر رقم الحدود للعامل الجديد.
رسوم الخدمة: مجانية
الرابط الرسمي: https://my.gov.sa/ar/services/538651"
الجوازات,الاستعلام عن رقم سداد رسوم الاستقدام,أفراد,تمكن المستفيد من استخراج الرقم المرجعي لسداد رسوم طلبات الاستقدام عبر القنوات البنكية.,1. الدخول لأبشر;2. استعلامات ثم الجوازات;3. رقم سداد رسوم الاستقدام;4. عرض الرقم المرجعي.,وجود طلب استقدام قائم.,مجانية (للاستعلام),https://my.gov.sa/ar/services/538654,"اسم الخدمة: الاستعلام عن رقم سداد رسوم الاستقدام
القطاع: الجوازات
الفئة المستهدفة: أفراد
وصف الخدمة: تمكن المستفيد من استخراج الرقم المرجعي لسداد رسوم طلبات الاستقدام عبر القنوات البنكية.
خطوات الخدمة: 1. الدخول لأبشر;2. استعلامات ثم الجوازات;3. رقم سداد رسوم الاستقدام;4. عرض الرقم المرجعي.
المستندات المطلوبة: وجود طلب استقدام قائم.
رسوم الخدمة: مجانية (للاستعلام)
الرابط الرسمي: https://my.gov.sa/ar/services/538654"
الجوازات,استعلام عن صلاحية التأشيرة,أفراد,خدمة تتيح للمقيمين والزوار التأكد من سريان مفعول تأشيرة الخروج والعودة أو التأشيرة النهائية.,1. الدخول لمنصة أبشر;2. استعلامات الجوازات;3. صلاحية التأشيرة;4. إدخال رقم الإقامة ورقم التأشيرة.,توفر رقم الإقامة ورقم التأشيرة أو الجواز.,مجانية,https://my.gov.sa/ar/services/538657,"اسم الخدمة: استعلام عن صلاحية التأشيرة
القطاع: الجوازات
الفئة المستهدفة: أفراد
وصف الخدمة: خدمة تتيح للمقيمين والزوار التأكد من سريان مفعول تأشيرة الخروج والعودة أو التأشيرة النهائية.
خطوات الخدمة: 1. الدخول لمنصة أبشر;2. استعلامات الجوازات;3. صلاحية التأشيرة;4. إدخال رقم الإقامة ورقم التأشيرة.
المستندات المطلوبة: توفر رقم الإقامة ورقم التأشيرة أو الجواز.
رسوم الخدمة: مجانية
الرابط الرسمي: https://my.gov.sa/ar/services/538657"
الجوازات,استعلام عن حالة طلب تأشيرة,أفراد,متابعة طلبات تأشيرات السفر المقدمة مسبقاً ومعرفة حالتها (قيد المعالجة، تم الإصدار، مرفوض).,1. الدخول لأبشر;2. استعلامات الجوازات;3. حالة طلب تأشيرة;4. إدخال رقم الطلب أو الهوية.,وجود طلب تأشيرة قائم.,مجانية,https://my.gov.sa/ar/services/538636,"اسم الخدمة: استعلام عن حالة طلب تأشيرة
القطاع: الجوازات
الفئة المستهدفة: أفراد
وصف الخدمة: متابعة طلبات تأشيرات السفر المقدمة مسبقاً ومعرفة حالتها (قيد المعالجة، تم الإصدار، مرفوض).
خطوات الخدمة: 1. الدخول لأبشر;2. استعلامات الجوازات;3. حالة طلب تأشيرة;4. إدخال رقم الطلب أو الهوية.
المستندات المطلوبة: وجود طلب تأشيرة قائم.
رسوم الخدمة: مجانية
الرابط الرسمي: https://my.gov.sa/ar/services/538636"
الأمن العام,الاستعلام عن البلاغات,أفراد,تمكن المستفيد من معرفة حالة البلاغات الأمنية أو الجنائية التي قدمها عبر مراكز الشرطة أو تطبيق كلنا أمن.,1. الدخول لأبشر;2. اختيار خدماتي;3. الأمن العام;4. استعلام عن البلاغات.,توفر حساب أبشر مفعل، وجود بلاغ مسجل سابقاً.,مجانية,https://my.gov.sa/ar/services/538613,"اسم الخدمة: الاستعلام عن البلاغات
القطاع: الأمن العام
الفئة المستهدفة: أفراد
وصف الخدمة: تمكن المستفيد من معرفة حالة البلاغات الأمنية أو الجنائية التي قدمها عبر مراكز الشرطة أو تطبيق كلنا أمن.
خطوات الخدمة: 1. الدخول لأبشر;2. اختيار خدماتي;3. الأمن العام;4. استعلام عن البلاغات.
المستندات المطلوبة: توفر حساب أبشر مفعل، وجود بلاغ مسجل سابقاً.
رسوم الخدمة: مجانية
الرابط الرسمي: https://my.gov.sa/ar/services/538613"
المرور,استعلام عن حوادث المركبات,أفراد,استعراض سجل الحوادث المرورية المسجلة على المركبة أو الهوية الوطنية بوزارة الداخلية.,1. الدخول لأبشر;2. استعلامات المرور;3. حوادث المركبات;4. عرض تفاصيل الحادث والموقع.,رقم الهوية أو الرقم التسلسلي للمركبة.,مجانية,https://my.gov.sa/ar/services/538616,"اسم الخدمة: استعلام عن حوادث المركبات
القطاع: المرور
الفئة المستهدفة: أفراد
وصف الخدمة: استعراض سجل الحوادث المرورية المسجلة على المركبة أو الهوية الوطنية بوزارة الداخلية.
خطوات الخدمة: 1. الدخول لأبشر;2. استعلامات المرور;3. حوادث المركبات;4. عرض تفاصيل الحادث والموقع.
المستندات المطلوبة: رقم الهوية أو الرقم التسلسلي للمركبة.
رسوم الخدمة: مجانية
الرابط الرسمي: https://my.gov.sa/ar/services/538616"
وزارة الداخلية,استعلام عن التأمين الصحي للزائرين,أفراد (زوار),التحقق من سريان وصلاحية وثيقة التأمين الصحي للزوار القادمين للمملكة بتأشيرة زيارة.,1. الدخول لأبشر;2. استعلامات;3. التأمين الصحي للزوار;4. إدخال رقم الجواز وتاريخ الدخول.,توفر رقم الجواز المسجل عند الدخول.,مجانية,https://my.gov.sa/ar/services/538619,"اسم الخدمة: استعلام عن التأمين الصحي للزائرين
القطاع: وزارة الداخلية
الفئة المستهدفة: أفراد (زوار)
وصف الخدمة: التحقق من سريان وصلاحية وثيقة التأمين الصحي للزوار القادمين للمملكة بتأشيرة زيارة.
خطوات الخدمة: 1. الدخول لأبشر;2. استعلامات;3. التأمين الصحي للزوار;4. إدخال رقم الجواز وتاريخ الدخول.
المستندات المطلوبة: توفر رقم الجواز المسجل عند الدخول.
رسوم الخدمة: مجانية
الرابط الرسمي: https://my.gov.sa/ar/services/538619"
المرور,مخالفات زوار دول الخليج,أفراد (زوار),تمكن مواطني دول مجلس التعاون من الاستعلام عن المخالفات المرورية المسجلة ضدهم داخل المملكة وسدادها.,1. الدخول لمنصة أبشر (عام);2. استعلامات;3. مخالفات الزوار;4. اختيار الدولة وإدخال رقم الهوية الخليجية.,توفر رقم اللوحة أو الهوية الخليجية.,مجانية (للاستعلام),https://my.gov.sa/ar/services/538582,"اسم الخدمة: مخالفات زوار دول الخليج
القطاع: المرور
الفئة المستهدفة: أفراد (زوار)
وصف الخدمة: تمكن مواطني دول مجلس التعاون من الاستعلام عن المخالفات المرورية المسجلة ضدهم داخل المملكة وسدادها.
خطوات الخدمة: 1. الدخول لمنصة أبشر (عام);2. استعلامات;3. مخالفات الزوار;4. اختيار الدولة وإدخال رقم الهوية الخليجية.
المستندات المطلوبة: توفر رقم اللوحة أو الهوية الخليجية.
رسوم الخدمة: مجانية (للاستعلام)
الرابط الرسمي: https://my.gov.sa/ar/services/538582"
الجوازات,استعلام عن وصول زائر,أفراد (مضيفين),تتيح للمستفيد (المضيف) التأكد من دخول الزائر الذي تحت استضافته إلى أراضي المملكة رسمياً.,1. الدخول لأبشر;2. استعلامات;3. الجوازات;4. استعلام عن وصول زائر;5. إدخال رقم الحدود.,توفر رقم الحدود أو رقم الجواز للزائر.,مجانية,https://my.gov.sa/ar/services/538585,"اسم الخدمة: استعلام عن وصول زائر
القطاع: الجوازات
الفئة المستهدفة: أفراد (مضيفين)
وصف الخدمة: تتيح للمستفيد (المضيف) التأكد من دخول الزائر الذي تحت استضافته إلى أراضي المملكة رسمياً.
خطوات الخدمة: 1. الدخول لأبشر;2. استعلامات;3. الجوازات;4. استعلام عن وصول زائر;5. إدخال رقم الحدود.
المستندات المطلوبة: توفر رقم الحدود أو رقم الجواز للزائر.
رسوم الخدمة: مجانية
الرابط الرسمي: https://my.gov.sa/ar/services/538585"
