اسم الخدمة,RAG_Content,القطاع,خطوات الخدمة,المستندات المطلوبة,سعر الخدمة,رابط الخدمة
تجديد الهوية الوطنية,"اسم الخدمة: تجديد الهوية الوطنية
القطاع: الأحوال المدنية
الفئة المستهدفة: أفراد (مواطنين)
وصف الخدمة: تجديد بطاقة الهوية الوطنية إلكترونياً باستخدام تقنيات التعرف على الوجه وتوصيلها للمنزل.
خطوات الخدمة: 1. الدخول لأبشر;2. خدماتي ثم الأحوال المدنية;3. تجديد الهوية الوطنية;4. رفع صورة شخصية مطابقة للمواصفات;5. سداد أجور التوصيل.",الأحوال المدنية,1. الدخول لأبشر;2. خدماتي ثم الأحوال المدنية;3. تجديد الهوية الوطنية;4. رفع صورة شخصية مطابقة للمواصفات;5. سداد أجور التوصيل.,مطابقة الصورة للشروط، بقاء أقل من 180 يوماً على الانتهاء، وجود عنوان وطني.,مجانية (تطبق رسوم التوصيل),https://my.gov.sa/ar/services/143495
تجديد الهوية الوطنية,"المستندات المطلوبة: مطابقة الصورة للشروط، بقاء أقل من 180 يوماً على الانتهاء، وجود عنوان وطني.
رسوم الخدمة: مجانية (تطبق رسوم التوصيل)
الرابط الرسمي: https://my.gov.sa/ar/services/143495",الأحوال المدنية,1. الدخول لأبشر;2. خدماتي ثم الأحوال المدنية;3. تجديد الهوية الوطنية;4. رفع صورة شخصية مطابقة للمواصفات;5. سداد أجور التوصيل.,مطابقة الصورة للشروط، بقاء أقل من 180 يوماً على الانتهاء، وجود عنوان وطني.,مجانية (تطبق رسوم التوصيل),https://my.gov.sa/ar/services/143495
إسقاط المركبات المهملة,"اسم الخدمة: إسقاط المركبات المهملة
القطاع: المرور
الفئة المستهدفة: أفراد
وصف الخدمة: تتيح للمستفيدين إسقاط المركبات القديمة أو التالفة من سجلاتهم عبر التوجه للمراكز المعتمدة.
خطوات الخدمة: 1. الاستعلام عن المراكز المعتمدة في أبشر;2. تسليم المركبة واللوحات للمركز;3. إعطاء رمز التحقق للمركز لإتمام الإسقاط.
المستندات المطلوبة: تسليم المركبة لمركز معتمد، عدم وجود مخالفات مرورية على المركبة.",المرور,1. الاستعلام عن المراكز المعتمدة في أبشر;2. تسليم المركبة واللوحات للمركز;3. إعطاء رمز التحقق للمركز لإتمام الإسقاط.,تسليم المركبة لمركز معتمد، عدم وجود مخالفات مرورية على المركبة.,مجانية (خلال الفترة التصحيحية),https://my.gov.sa/ar/services/99752
إسقاط المركبات المهملة,"رسوم الخدمة: مجانية (خلال الفترة التصحيحية)
الرابط الرسمي: https://my.gov.sa/ar/services/99752",المرور,1. الاستعلام عن المراكز المعتمدة في أبشر;2. تسليم المركبة واللوحات للمركز;3. إعطاء رمز التحقق للمركز لإتمام الإسقاط.,تسليم المركبة لمركز معتمد، عدم وجود مخالفات مرورية على المركبة.,مجانية (خلال الفترة التصحيحية),https://my.gov.sa/ar/services/99752
إصدار شهادة وفاة,"اسم الخدمة: إصدار شهادة وفاة
القطاع: الأحوال المدنية
الفئة المستهدفة: أفراد
وصف الخدمة: تسجيل واقعة الوفاة وإصدار الشهادة إلكترونياً بناءً على بلاغ المستشفى.
خطوات الخدمة: 1. الدخول لأبشر;2. خدمات الأحوال المدنية;3. شهادة الوفاة;4. استعراض بلاغات الوفاة المسجلة;5. تأكيد الإصدار والطباعة.
المستندات المطلوبة: وجود بلاغ وفاة إلكتروني من المستشفى، أن يكون مقدم الطلب قريباً من الدرجة الأولى.",الأحوال المدنية,1. الدخول لأبشر;2. خدمات الأحوال المدنية;3. شهادة الوفاة;4. استعراض بلاغات الوفاة المسجلة;5. تأكيد الإصدار والطباعة.,وجود بلاغ وفاة إلكتروني من المستشفى، أن يكون مقدم الطلب قريباً من الدرجة الأولى.,مجانية,https://my.gov.sa/ar/services/152960
إصدار شهادة وفاة,"رسوم الخدمة: مجانية
الرابط الرسمي: https://my.gov.sa/ar/services/152960",الأحوال المدنية,1. الدخول لأبشر;2. خدمات الأحوال المدنية;3. شهادة الوفاة;4. استعراض بلاغات الوفاة المسجلة;5. تأكيد الإصدار والطباعة.,وجود بلاغ وفاة إلكتروني من المستشفى، أن يكون مقدم الطلب قريباً من الدرجة الأولى.,مجانية,https://my.gov.sa/ar/services/152960
إصدار سجل الأسرة (للآباء),"اسم الخدمة: إصدار سجل الأسرة (للآباء)
القطاع: الأحوال المدنية
الفئة المستهدفة: أفراد (مواطنين)
وصف الخدمة: إصدار كرت العائلة (سجل الأسرة) للآباء حديثي الزواج أو عند إضافة تابعين.
خطوات الخدمة: 1. الدخول لأبشر;2. خدمات الأحوال المدنية;3. إصدار سجل الأسرة;4. التأكد من البيانات وطلب التوصيل.
المستندات المطلوبة: أن تكون الحالة الاجتماعية محدثة، وجود عنوان وطني مفعل.",الأحوال المدنية,1. الدخول لأبشر;2. خدمات الأحوال المدنية;3. إصدار سجل الأسرة;4. التأكد من البيانات وطلب التوصيل.,أن تكون الحالة الاجتماعية محدثة، وجود عنوان وطني مفعل.,مجانية (تطبق رسوم التوصيل),https://my.gov.sa/ar/services/112102
إصدار سجل الأسرة (للآباء),"رسوم الخدمة: مجانية (تطبق رسوم التوصيل)
الرابط الرسمي: https://my.gov.sa/ar/services/112102",الأحوال المدنية,1. الدخول لأبشر;2. خدمات الأحوال المدنية;3. إصدار سجل الأسرة;4. التأكد من البيانات وطلب التوصيل.,أن تكون الحالة الاجتماعية محدثة، وجود عنوان وطني مفعل.,مجانية (تطبق رسوم التوصيل),https://my.gov.sa/ar/services/112102
شهادة خلو سوابق,"اسم الخدمة: شهادة خلو سوابق
القطاع: الأمن العام
الفئة المستهدفة: أفراد
وصف الخدمة: إصدار صحيفة الحالة الجنائية (خلو السوابق) إلكترونياً وتقديمها للجهات المعنية.
خطوات الخدمة: 1. الدخول لأبشر;2. الخدمات العامة;3. تقارير أبشر;4. طلب شهادة خلو سوابق;5. سداد الرسوم واستعراض الشهادة.
المستندات المطلوبة: وجود بصمة مسجلة في النظام، سداد المقابل المالي للتقرير.
رسوم الخدمة: متغيرة",الأمن العام,1. الدخول لأبشر;2. الخدمات العامة;3. تقارير أبشر;4. طلب شهادة خلو سوابق;5. سداد الرسوم واستعراض الشهادة.,وجود بصمة مسجلة في النظام، سداد المقابل المالي للتقرير.,متغيرة,https://my.gov.sa/ar/services/112121
شهادة خلو سوابق,"رسوم الخدمة: متغيرة
الرابط الرسمي: https://my.gov.sa/ar/services/112121",الأمن العام,1. الدخول لأبشر;2. الخدمات العامة;3. تقارير أبشر;4. طلب شهادة خلو سوابق;5. سداد الرسوم واستعراض الشهادة.,وجود بصمة مسجلة في النظام، سداد المقابل المالي للتقرير.,متغيرة,https://my.gov.sa/ar/services/112121
الإبلاغ عن فقدان الوثائق,"اسم الخدمة: الإبلاغ عن فقدان الوثائق
القطاع: الأحوال المدنية
الفئة المستهدفة: أفراد
وصف الخدمة: تمكن المستفيد من الإبلاغ عن فقدان الهوية الوطنية، سجل الأسرة، أو شهادة الميلاد.
خطوات الخدمة: 1. الدخول لأبشر;2. خدمات الأحوال المدنية;3. الإبلاغ عن وثيقة مفقودة;4. اختيار الوثيقة وتأكيد البلاغ.
المستندات المطلوبة: الإقرار بصحة البلاغ، ملاحظة أنه لا يمكن إلغاء البلاغ بعد تأكيده.
رسوم الخدمة: مجانية",الأحوال المدنية,1. الدخول لأبشر;2. خدمات الأحوال المدنية;3. الإبلاغ عن وثيقة مفقودة;4. اختيار الوثيقة وتأكيد البلاغ.,الإقرار بصحة البلاغ، ملاحظة أنه لا يمكن إلغاء البلاغ بعد تأكيده.,مجانية,https://my.gov.sa/ar/services/118586
الإبلاغ عن فقدان الوثائق,"رسوم الخدمة: مجانية
الرابط الرسمي: https://my.gov.sa/ar/services/118586",الأحوال المدنية,1. الدخول لأبشر;2. خدمات الأحوال المدنية;3. الإبلاغ عن وثيقة مفقودة;4. اختيار الوثيقة وتأكيد البلاغ.,الإقرار بصحة البلاغ، ملاحظة أنه لا يمكن إلغاء البلاغ بعد تأكيده.,مجانية,https://my.gov.sa/ar/services/118586
تواصل (خدمات الجوازات),"اسم الخدمة: تواصل (خدمات الجوازات)
القطاع: الجوازات
الفئة المستهدفة: أفراد
وصف الخدمة: تمكن المستفيد من رفع الطلبات والملاحظات التي لا يمكن تنفيذها إلكترونياً لقطاع الجوازات.
خطوات الخدمة: 1. الدخول لأبشر;2. خدماتي ثم الجوازات;3. خدمة تواصل;4. تقديم طلب جديد;5. وصف الحالة وإرفاق المستندات.
المستندات المطلوبة: شرح المشكلة بوضوح، إرفاق الوثائق الداعمة للطلب بصيغة مناسبة.
رسوم الخدمة: مجانية",الجوازات,1. الدخول لأبشر;2. خدماتي ثم الجوازات;3. خدمة تواصل;4. تقديم طلب جديد;5. وصف الحالة وإرفاق المستندات.,شرح المشكلة بوضوح، إرفاق الوثائق الداعمة للطلب بصيغة مناسبة.,مجانية,https://my.gov.sa/ar/services/112090
تواصل (خدمات الجوازات),"رسوم الخدمة: مجانية
الرابط الرسمي: https://my.gov.sa/ar/services/112090",الجوازات,1. الدخول لأبشر;2. خدماتي ثم الجوازات;3. خدمة تواصل;4. تقديم طلب جديد;5. وصف الحالة وإرفاق المستندات.,شرح المشكلة بوضوح، إرفاق الوثائق الداعمة للطلب بصيغة مناسبة.,مجانية,https://my.gov.sa/ar/services/112090
إصدار هوية لأفراد الأسرة,"اسم الخدمة: إصدار هوية لأفراد الأسرة
القطاع: الأحوال المدنية
الفئة المستهدفة: أفراد (مواطنين)
وصف الخدمة: طلب إصدار بطاقة الهوية الوطنية لأول مرة للأبناء الذين بلغوا السن القانوني.
خطوات الخدمة: 1. الدخول لأبشر;2. خدمات الأحوال المدنية;3. حجز موعد إصدار هوية لأول مرة;4. التوجه للفرع مع المتطلبات.",الأحوال المدنية,1. الدخول لأبشر;2. خدمات الأحوال المدنية;3. حجز موعد إصدار هوية لأول مرة;4. التوجه للفرع مع المتطلبات.,بلوغ السن القانوني (15 سنة إلزامي، 10-15 اختياري)، حضور ولي الأمر، إحضار شهادة الميلاد.,مجانية,https://my.gov.sa/ar/services/112105
إصدار هوية لأفراد الأسرة,"المستندات المطلوبة: بلوغ السن القانوني (15 سنة إلزامي، 10-15 اختياري)، حضور ولي الأمر، إحضار شهادة الميلاد.
رسوم الخدمة: مجانية
الرابط الرسمي: https://my.gov.sa/ar/services/112105",الأحوال المدنية,1. الدخول لأبشر;2. خدمات الأحوال المدنية;3. حجز موعد إصدار هوية لأول مرة;4. التوجه للفرع مع المتطلبات.,بلوغ السن القانوني (15 سنة إلزامي، 10-15 اختياري)، حضور ولي الأمر، إحضار شهادة الميلاد.,مجانية,https://my.gov.sa/ar/services/112105
تصريح دخول مكة (العمالة المنزلية),"اسم الخدمة: تصريح دخول مكة (العمالة المنزلية)
القطاع: الجوازات
الفئة المستهدفة: أفراد (أصحاب عمل)
وصف الخدمة: إصدار تصاريح دخول العاصمة المقدسة للعمالة المنزلية خلال موسم الحج إلكترونياً.
خطوات الخدمة: 1. الدخول لأبشر أفراد;2. خدمات العمالة;3. تصريح دخول مكة;4. إنشاء طلب تصريح وتأكيد البيانات.",الجوازات,1. الدخول لأبشر أفراد;2. خدمات العمالة;3. تصريح دخول مكة;4. إنشاء طلب تصريح وتأكيد البيانات.,وجود العامل داخل المملكة، سريان الإقامة، أن يكون الطلب خلال الفترة الزمنية المحددة للحج.,مجانية,https://my.gov.sa/ar/services/538491
تصريح دخول مكة (العمالة المنزلية),"المستندات المطلوبة: وجود العامل داخل المملكة، سريان الإقامة، أن يكون الطلب خلال الفترة الزمنية المحددة للحج.
رسوم الخدمة: مجانية
الرابط الرسمي: https://my.gov.sa/ar/services/538491",الجوازات,1. الدخول لأبشر أفراد;2. خدمات العمالة;3. تصريح دخول مكة;4. إنشاء طلب تصريح وتأكيد البيانات.,وجود العامل داخل المملكة، سريان الإقامة، أن يكون الطلب خلال الفترة الزمنية المحددة للحج.,مجانية,https://my.gov.sa/ar/services/538491
تجديد تصريح دخول مكة,"اسم الخدمة: تجديد تصريح دخول مكة
القطاع: وزارة الداخلية
الفئة المستهدفة: أفراد وأعمال
وصف الخدمة: تجديد تصاريح الدخول للعاصمة المقدسة الصادرة سابقاً خلال موسم الحج.
خطوات الخدمة: 1. الدخول للمنصة (أبشر);2. استعراض التصاريح الحالية;3. اختيار تجديد التصريح;4. التأكيد.
المستندات المطلوبة: وجود تصريح سابق قابل للتجديد، بقاء المستفيد ضمن الفئة المصرح لها.
رسوم الخدمة: مجانية",وزارة الداخلية,1. الدخول للمنصة (أبشر);2. استعراض التصاريح الحالية;3. اختيار تجديد التصريح;4. التأكيد.,وجود تصريح سابق قابل للتجديد، بقاء المستفيد ضمن الفئة المصرح لها.,مجانية,https://my.gov.sa/ar/services/538488
تجديد تصريح دخول مكة,"رسوم الخدمة: مجانية
الرابط الرسمي: https://my.gov.sa/ar/services/538488",وزارة الداخلية,1. الدخول للمنصة (أبشر);2. استعراض التصاريح الحالية;3. اختيار تجديد التصريح;4. التأكيد.,وجود تصريح سابق قابل للتجديد، بقاء المستفيد ضمن الفئة المصرح لها.,مجانية,https://my.gov.sa/ar/services/538488
طلب لوحة بشعار,"اسم الخدمة: طلب لوحة بشعار
القطاع: المرور
الفئة المستهدفة: أفراد
وصف الخدمة: تمكن مالك المركبة من طلب استبدال لوحة المركبة بلوحة تحمل شعاراً وطنياً مميزاً (رؤية 2030).
خطوات الخدمة: 1. الدخول لأبشر;2. المركبات ثم إدارة المركبات;3. اختيار المركبة;4. طلب لوحات بشعار;5. سداد الرسوم وتحديد العنوان.
المستندات المطلوبة: وجود مركبة مسجلة، سداد الرسوم المقررة للوحة، عدم وجود مخالفات تمنع الخدمة.",المرور,1. الدخول لأبشر;2. المركبات ثم إدارة المركبات;3. اختيار المركبة;4. طلب لوحات بشعار;5. سداد الرسوم وتحديد العنوان.,وجود مركبة مسجلة، سداد الرسوم المقررة للوحة، عدم وجود مخالفات تمنع الخدمة.,800 ريال,https://my.gov.sa/ar/services/538457
طلب لوحة بشعار,"رسوم الخدمة: 800 ريال
الرابط الرسمي: https://my.gov.sa/ar/services/538457",المرور,1. الدخول لأبشر;2. المركبات ثم إدارة المركبات;3. اختيار المركبة;4. طلب لوحات بشعار;5. سداد الرسوم وتحديد العنوان.,وجود مركبة مسجلة، سداد الرسوم المقررة للوحة، عدم وجود مخالفات تمنع الخدمة.,800 ريال,https://my.gov.sa/ar/services/538457
استبدال لوحات المركبة,"اسم الخدمة: استبدال لوحات المركبة
القطاع: المرور
الفئة المستهدفة: أفراد
وصف الخدمة: تغيير لوحات المركبة الحالية بلوحات جديدة (طويلة أو قصيرة) أو تغيير المقاسات.
خطوات الخدمة: 1. الدخول لأبشر;2. اختيار المركبة المعنية;3. اختيار استبدال اللوحات;4. تحديد النوع وسداد الرسوم.
المستندات المطلوبة: ملكية المركبة، سداد الرسوم المرورية، تسليم اللوحات القديمة عند استلام الجديدة.
رسوم الخدمة: 100 ريال",المرور,1. الدخول لأبشر;2. اختيار المركبة المعنية;3. اختيار استبدال اللوحات;4. تحديد النوع وسداد الرسوم.,ملكية المركبة، سداد الرسوم المرورية، تسليم اللوحات القديمة عند استلام الجديدة.,100 ريال,https://my.gov.sa/ar/services/538460
استبدال لوحات المركبة,"رسوم الخدمة: 100 ريال
الرابط الرسمي: https://my.gov.sa/ar/services/538460",المرور,1. الدخول لأبشر;2. اختيار المركبة المعنية;3. اختيار استبدال اللوحات;4. تحديد النوع وسداد الرسوم.,ملكية المركبة، سداد الرسوم المرورية، تسليم اللوحات القديمة عند استلام الجديدة.,100 ريال,https://my.gov.sa/ar/services/538460
الاعتراض على مخالفات دخول مكة,"اسم الخدمة: الاعتراض على مخالفات دخول مكة
القطاع: المرور
الفئة المستهدفة: أفراد
وصف الخدمة: تمكن المستفيد من الاعتراض على المخالفات المرورية المسجلة بسبب دخول مكة بدون تصريح خلال الحج.
خطوات الخدمة: 1. الدخول لأبشر;2. خدمات المرور;3. الاعتراض على المخالفات;4. اختيار مخالفة منع الدخول وتقديم التبرير.
المستندات المطلوبة: تقديم الاعتراض خلال المدة النظامية، إرفاق ما يثبت نظامية الدخول إن وجد.",المرور,1. الدخول لأبشر;2. خدمات المرور;3. الاعتراض على المخالفات;4. اختيار مخالفة منع الدخول وتقديم التبرير.,تقديم الاعتراض خلال المدة النظامية، إرفاق ما يثبت نظامية الدخول إن وجد.,مجانية,https://my.gov.sa/ar/services/538494
الاعتراض على مخالفات دخول مكة,"رسوم الخدمة: مجانية
الرابط الرسمي: https://my.gov.sa/ar/services/538494",المرور,1. الدخول لأبشر;2. خدمات المرور;3. الاعتراض على المخالفات;4. اختيار مخالفة منع الدخول وتقديم التبرير.,تقديم الاعتراض خلال المدة النظامية، إرفاق ما يثبت نظامية الدخول إن وجد.,مجانية,https://my.gov.sa/ar/services/538494
طلب لوحة بدل تالف أو مفقود,"اسم الخدمة: طلب لوحة بدل تالف أو مفقود
القطاع: المرور
الفئة المستهدفة: أفراد
وصف الخدمة: إصدار لوحات جديدة للمركبة في حال تعرض اللوحات الحالية للتلف أو الفقدان.
خطوات الخدمة: 1. الدخول لأبشر;2. إدارة المركبات;3. اختيار المركبة;4. طلب لوحة بدل تالف/مفقود;5. سداد الرسوم وتحديد الاستلام.
المستندات المطلوبة: الإبلاغ عن الفقدان (في حال الفقدان)، سداد الرسوم، وجود فحص وتأمين ساري.
رسوم الخدمة: 100 ريال",المرور,1. الدخول لأبشر;2. إدارة المركبات;3. اختيار المركبة;4. طلب لوحة بدل تالف/مفقود;5. سداد الرسوم وتحديد الاستلام.,الإبلاغ عن الفقدان (في حال الفقدان)، سداد الرسوم، وجود فحص وتأمين ساري.,100 ريال,https://my.gov.sa/ar/services/538463
طلب لوحة بدل تالف أو مفقود,"رسوم الخدمة: 100 ريال
الرابط الرسمي: https://my.gov.sa/ar/services/538463",المرور,1. الدخول لأبشر;2. إدارة المركبات;3. اختيار المركبة;4. طلب لوحة بدل تالف/مفقود;5. سداد الرسوم وتحديد الاستلام.,الإبلاغ عن الفقدان (في حال الفقدان)، سداد الرسوم، وجود فحص وتأمين ساري.,100 ريال,https://my.gov.sa/ar/services/538463
استطلاع الرأي (أبشر),"اسم الخدمة: استطلاع الرأي (أبشر)
القطاع: وزارة الداخلية
الفئة المستهدفة: أفراد
وصف الخدمة: خدمة تتيح للمستخدمين المشاركة في تقييم الخدمات الإلكترونية وتقديم المقترحات لتحسينها.
خطوات الخدمة: 1. الدخول لأبشر;2. الانتقال لخدمة استطلاع الرأي;3. اختيار الاستبيان المتاح;4. تعبئة البيانات والإرسال.
المستندات المطلوبة: توفر حساب مفعل في أبشر.
رسوم الخدمة: مجانية",وزارة الداخلية,1. الدخول لأبشر;2. الانتقال لخدمة استطلاع الرأي;3. اختيار الاستبيان المتاح;4. تعبئة البيانات والإرسال.,توفر حساب مفعل في أبشر.,مجانية,https://my.gov.sa/ar/services/538436
استطلاع الرأي (أبشر),"رسوم الخدمة: مجانية
الرابط الرسمي: https://my.gov.sa/ar/services/538436",وزارة الداخلية,1. الدخول لأبشر;2. الانتقال لخدمة استطلاع الرأي;3. اختيار الاستبيان المتاح;4. تعبئة البيانات والإرسال.,توفر حساب مفعل في أبشر.,مجانية,https://my.gov.sa/ar/services/538436
تحديث العنوان الوطني,"اسم الخدمة: تحديث العنوان الوطني
القطاع: وزارة الداخلية
الفئة المستهدفة: أفراد
وصف الخدمة: تمكن المستفيد من تحديث بيانات موقعه الجغرافي المسجل كعنوان وطني في سجلات وزارة الداخلية.
خطوات الخدمة: 1. الدخول لأبشر;2. الملف الشخصي أو الخدمات العامة;3. تحديث العنوان الوطني;4. ربط البيانات مع البريد السعودي.
المستندات المطلوبة: وجود عنوان مسجل مسبقاً في سبل (البريد السعودي).
رسوم الخدمة: مجانية",وزارة الداخلية,1. الدخول لأبشر;2. الملف الشخصي أو الخدمات العامة;3. تحديث العنوان الوطني;4. ربط البيانات مع البريد السعودي.,وجود عنوان مسجل مسبقاً في سبل (البريد السعودي).,مجانية,https://my.gov.sa/ar/services/538439
تحديث العنوان الوطني,"رسوم الخدمة: مجانية
الرابط الرسمي: https://my.gov.sa/ar/services/538439",وزارة الداخلية,1. الدخول لأبشر;2. الملف الشخصي أو الخدمات العامة;3. تحديث العنوان الوطني;4. ربط البيانات مع البريد السعودي.,وجود عنوان مسجل مسبقاً في سبل (البريد السعودي).,مجانية,https://my.gov.sa/ar/services/538439
الاستعلام عن رقم الحدود,"اسم الخدمة: الاستعلام عن رقم الحدود
القطاع: الجوازات
الفئة المستهدفة: أفراد (زائرين)
وصف الخدمة: تتيح لمواطني دول الخليج والزائرين الاستعلام عن رقم الحدود المسجل لهم عند دخول المملكة.
خطوات الخدمة: 1. الدخول لمنصة أبشر (بدون تسجيل دخول);2. استعلامات;3. الاستعلام عن رقم الحدود;4. إدخال رقم الجواز وتاريخ الدخول.
المستندات المطلوبة: توفر رقم الجواز أو الهوية الخليجية وتاريخ الدخول للمملكة.",الجوازات,1. الدخول لمنصة أبشر (بدون تسجيل دخول);2. استعلامات;3. الاستعلام عن رقم الحدود;4. إدخال رقم الجواز وتاريخ الدخول.,توفر رقم الجواز أو الهوية الخليجية وتاريخ الدخول للمملكة.,مجانية,https://my.gov.sa/ar/services/538442
الاستعلام عن رقم الحدود,"رسوم الخدمة: مجانية
الرابط الرسمي: https://my.gov.sa/ar/services/538442",الجوازات,1. الدخول لمنصة أبشر (بدون تسجيل دخول);2. استعلامات;3. الاستعلام عن رقم الحدود;4. إدخال رقم الجواز وتاريخ الدخول.,توفر رقم الجواز أو الهوية الخليجية وتاريخ الدخول للمملكة.,مجانية,https://my.gov.sa/ar/services/538442
نقل الخدمات (أبشر أعمال),"اسم الخدمة: نقل الخدمات (أبشر أعمال)
القطاع: الجوازات
الفئة المستهدفة: قطاع الأعمال
وصف الخدمة: تمكن صاحب المنشأة من نقل خدمات العامل (كفالة) إليه إلكترونياً بعد موافقة الطرفين.
خطوات الخدمة: 1. الدخول لأبشر أعمال;2. خدمات أعمالي;3. نقل الخدمات;4. طلب نقل خدمات عامل;5. موافقة صاحب العمل الحالي والعامل.",الجوازات,1. الدخول لأبشر أعمال;2. خدمات أعمالي;3. نقل الخدمات;4. طلب نقل خدمات عامل;5. موافقة صاحب العمل الحالي والعامل.,سداد رسوم النقل، موافقة جميع الأطراف، عدم وجود مخالفات على المنشأة أو العامل.,2000 ريال (للمرة الأولى),https://my.gov.sa/ar/services/487328
نقل الخدمات (أبشر أعمال),"المستندات المطلوبة: سداد رسوم النقل، موافقة جميع الأطراف، عدم وجود مخالفات على المنشأة أو العامل.
رسوم الخدمة: 2000 ريال (للمرة الأولى)
الرابط الرسمي: https://my.gov.sa/ar/services/487328",الجوازات,1. الدخول لأبشر أعمال;2. خدمات أعمالي;3. نقل الخدمات;4. طلب نقل خدمات عامل;5. موافقة صاحب العمل الحالي والعامل.,سداد رسوم النقل، موافقة جميع الأطراف، عدم وجود مخالفات على المنشأة أو العامل.,2000 ريال (للمرة الأولى),https://my.gov.sa/ar/services/487328
تأشيرة الخروج النهائي (فترة التجربة),"اسم الخدمة: تأشيرة الخروج النهائي (فترة التجربة)
القطاع: الجوازات
الفئة المستهدفة: أفراد وأعمال
وصف الخدمة: إصدار تأشيرة خروج نهائي للعامل خلال أول 90 يوماً من دخوله المملكة دون رسوم إضافية.
خطوات الخدمة: 1. الدخول لأبشر (أفراد أو أعمال);2. خدمات العمالة;3. تأشيرة الخروج النهائي;4. اختيار العامل خلال فترة التجربة.",الجوازات,1. الدخول لأبشر (أفراد أو أعمال);2. خدمات العمالة;3. تأشيرة الخروج النهائي;4. اختيار العامل خلال فترة التجربة.,أن يكون العامل في فترة التجربة (90 يوماً)، عدم إصدار إقامة له بعد، عدم وجود مخالفات.,مجانية,https://my.gov.sa/ar/services/484600
تأشيرة الخروج النهائي (فترة التجربة),"المستندات المطلوبة: أن يكون العامل في فترة التجربة (90 يوماً)، عدم إصدار إقامة له بعد، عدم وجود مخالفات.
رسوم الخدمة: مجانية
الرابط الرسمي: https://my.gov.sa/ar/services/484600",الجوازات,1. الدخول لأبشر (أفراد أو أعمال);2. خدمات العمالة;3. تأشيرة الخروج النهائي;4. اختيار العامل خلال فترة التجربة.,أن يكون العامل في فترة التجربة (90 يوماً)، عدم إصدار إقامة له بعد، عدم وجود مخالفات.,مجانية,https://my.gov.sa/ar/services/484600
تصريح السفر الاستثنائي,"اسم الخدمة: تصريح السفر الاستثنائي
القطاع: وزارة الداخلية
الفئة المستهدفة: أفراد
وصف الخدمة: طلب الحصول على تصريح سفر للخارج في الحالات الاستثنائية التي تقرها الجهات المختصة.
خطوات الخدمة: 1. الدخول لأبشر;2. خدماتي ثم الجوازات;3. مركز الرسائل والطلبات;4. طلب تصريح سفر استثنائي وإرفاق المبررات.
المستندات المطلوبة: وجود مبررات قوية (مرض، دراسة، مهام رسمية)، إرفاق الوثائق الداعمة.
رسوم الخدمة: مجانية",وزارة الداخلية,1. الدخول لأبشر;2. خدماتي ثم الجوازات;3. مركز الرسائل والطلبات;4. طلب تصريح سفر استثنائي وإرفاق المبررات.,وجود مبررات قوية (مرض، دراسة، مهام رسمية)، إرفاق الوثائق الداعمة.,مجانية,https://my.gov.sa/ar/services/538808
تصريح السفر الاستثنائي,"رسوم الخدمة: مجانية
الرابط الرسمي: https://my.gov.sa/ar/services/538808",وزارة الداخلية,1. الدخول لأبشر;2. خدماتي ثم الجوازات;3. مركز الرسائل والطلبات;4. طلب تصريح سفر استثنائي وإرفاق المبررات.,وجود مبررات قوية (مرض، دراسة، مهام رسمية)، إرفاق الوثائق الداعمة.,مجانية,https://my.gov.sa/ar/services/538808
استعلام عن صلاحية التأمين الطبي,"اسم الخدمة: استعلام عن صلاحية التأمين الطبي
القطاع: وزارة الداخلية
الفئة المستهدفة: أفراد (مقيمين)
وصف الخدمة: خدمة تتيح التأكد من وجود تأمين طبي ساري المفعول للمقيمين، وهو شرط أساسي لتجديد الإقامة.
خطوات الخدمة: 1. الدخول لأبشر;2. استعلامات;3. الاستعلام عن صلاحية التأمين الطبي للمقيمين;4. إدخال رقم الإقامة والرمز المرئي.
المستندات المطلوبة: توفر رقم الإقامة.
رسوم الخدمة: مجانية",وزارة الداخلية,1. الدخول لأبشر;2. استعلامات;3. الاستعلام عن صلاحية التأمين الطبي للمقيمين;4. إدخال رقم الإقامة والرمز المرئي.,توفر رقم الإقامة.,مجانية,https://my.gov.sa/ar/services/538811
استعلام عن صلاحية التأمين الطبي,"رسوم الخدمة: مجانية
الرابط الرسمي: https://my.gov.sa/ar/services/538811",وزارة الداخلية,1. الدخول لأبشر;2. استعلامات;3. الاستعلام عن صلاحية التأمين الطبي للمقيمين;4. إدخال رقم الإقامة والرمز المرئي.,توفر رقم الإقامة.,مجانية,https://my.gov.sa/ar/services/538811
أبشر سفر,"اسم الخدمة: أبشر سفر
القطاع: وزارة الداخلية
الفئة المستهدفة: أفراد
وصف الخدمة: تجهيز إجراءات السفر والتحقق من المتطلبات قبل الوصول للمنافذ البرية لتقليل وقت الانتظار.
خطوات الخدمة: 1. الدخول لتطبيق أبشر;2. اختيار أبشر سفر;3. تحديد المنفذ والمسافرين;4. تأكيد الطلب قبل الوصول للمنفذ.
المستندات المطلوبة: وجود جواز سفر ساري، تأمين سفر (إن لزم)، تنفيذ الطلب قبل الوصول للمنفذ بفترة وجيزة.",وزارة الداخلية,1. الدخول لتطبيق أبشر;2. اختيار أبشر سفر;3. تحديد المنفذ والمسافرين;4. تأكيد الطلب قبل الوصول للمنفذ.,وجود جواز سفر ساري، تأمين سفر (إن لزم)، تنفيذ الطلب قبل الوصول للمنفذ بفترة وجيزة.,مجانية,https://my.gov.sa/ar/services/538814
