category,lang,question,ground_truth
الجوازات,Russian,Каковы процедуры и сборы за إصدار هوية مقيم?,"Чтобы завершить услугу إصدار هوية مقيم, выполните следующие действия: 1. الدخول إلى منصة أبشر أعمال;2. اختيار خدمات أعمالي;3. اختيار إصدار الإقامة;4. اختيار العامل المطلوب;5. التأكد من البيانات وسداد الرسوم;6. تأكيد الإصدار.. Стоимость услуги: 600 ريال (للعمالة المنزلية)، 650 ريال (للقطاع الخاص)."
الجوازات,Russian,Каковы процедуры и сборы за إصدار جواز بدل مفقود?,"Чтобы завершить услугу إصدار جواز بدل مفقود, выполните следующие действия: 1. الدخول لأبشر;2. خدمات الجوازات;3. طلب جديد;4. إصدار جواز بدل مفقود;5. سداد الرسوم واختيار طريقة الاستلام.. Стоимость услуги: 300 ريال (لمدة 5 سنوات)، 600 ريال (لمدة 10 سنوات)."
وزارة الداخلية,Russian,Каковы процедуры и сборы за تجديد الإقامة (أبشر أعمال)?,"Чтобы завершить услугу تجديد الإقامة (أبشر أعمال), выполните следующие действия: 1. تسجيل الدخول لأبشر أعمال;2. خدمات أعمالي;3. تجديد الإقامة;4. اختيار العامل وتحديد مدة التجديد;5. سداد الرسوم والتأكيد.. Стоимость услуги: متغيرة."
المرور,Russian,Каковы процедуры и сборы за مبايعة المركبات?,"Чтобы завершить услугу مبايعة المركبات, выполните следующие действия: 1. دخول البائع لأبشر وتحديد المركبة والسعر;2. إدخال بيانات المشتري والحساب البنكي;3. قبول المشتري للطلب وتحويل المبلغ لحساب وسيط;4. سداد الرسوم والتأكيد.. Стоимость услуги: 380 ريال."
الأحوال المدنية,Russian,Каковы процедуры и сборы за تسجيل المواليد?,"Чтобы завершить услугу تسجيل المواليد, выполните следующие действия: 1. الدخول لأبشر;2. خدمات الأحوال المدنية;3. تسجيل المواليد;4. اختيار المولود;5. تأكيد البيانات وطلب التوصيل.. Стоимость услуги: مجانية (تطبق رسوم التوصيل)."
الأحوال المدنية,Russian,Каковы процедуры и сборы за تجديد الهوية الوطنية?,"Чтобы завершить услугу تجديد الهوية الوطنية, выполните следующие действия: 1. الدخول لأبشر;2. خدماتي ثم الأحوال المدنية;3. تجديد الهوية الوطنية;4. رفع صورة شخصية مطابقة للمواصفات;5. سداد أجور التوصيل.. Стоимость услуги: مجانية (تطبق رسوم التوصيل)."
الأمن العام,Russian,Каковы процедуры и сборы за شهادة خلو سوابق?,"Чтобы завершить услугу شهادة خلو سوابق, выполните следующие действия: 1. الدخول لأبشر;2. الخدمات العامة;3. تقارير أبشر;4. طلب شهادة خلو سوابق;5. سداد الرسوم واستعراض الشهادة.. Стоимость услуги: متغيرة."
المديرية العامة للسجون,Russian,Каковы процедуры и сборы за فرجت?,"Чтобы завершить услугу فرجت, выполните следующие действия: 1. الدخول لأبشر أو منصة فرجت. 2. اختيار تصنيف الحالة (المنطقة، المبلغ). 3. الحصول على رقم فاتورة سداد. 4. المساهمة بالمبلغ عبر البنك.. Стоимость услуги: مجانية (الخدمة تبرعية)."
المرور,Russian,Каковы процедуры и сборы за نقل اللوحات?,"Чтобы завершить услугу نقل اللوحات, выполните следующие действия: 1. تسجيل الدخول إلى أبشر. 2. اختيار المركبات ثم إدارة المركبات. 3. اختيار المركبة المعنية. 4. اختيار نقل اللوحات. 5. استكمال البيانات المطلوبة وتأكيد الطلب.. Стоимость услуги: مجانية (للتنفيذ الرقمي)."
الأحوال المدنية,Russian,Каковы процедуры и сборы за شهادة الميلاد الرقمية?,"Чтобы завершить услугу شهادة الميلاد الرقمية, выполните следующие действия: 1. الدخول لأبشر واختيار الخدمات العامة. 2. اختيار التحقق من وثيقة رقمية. 3. اختيار شهادة ميلاد وإدخال البيانات. 4. عرض الوثيقة وطباعتها.. Стоимость услуги: مجانية."
الجوازات,Russian,Каковы процедуры и сборы за استعلام عن صلاحية التأشيرة?,"Чтобы завершить услугу استعلام عن صلاحية التأشيرة, выполните следующие действия: 1. الدخول لمنصة أبشر;2. استعلامات الجوازات;3. صلاحية التأشيرة;4. إدخال رقم الإقامة ورقم التأشيرة.. Стоимость услуги: مجانية."
وزارة الداخلية,Russian,Каковы процедуры и сборы за استعلام عن البصمة?,"Чтобы завершить услугу استعلام عن البصمة, выполните следующие действия: 1. الدخول لأبشر;2. استعلامات;3. استعلام عن البصمة;4. إدخال رقم الهوية والرمز المرئي.. Стоимость услуги: مجانية."
المرور,Russian,Каковы процедуры и сборы за إسقاط المركبات المهملة?,"Чтобы завершить услугу إسقاط المركبات المهملة, выполните следующие действия: 1. الاستعلام عن المراكز المعتمدة في أبشر;2. تسليم المركبة واللوحات للمركز;3. إعطاء رمز التحقق للمركز لإتمام الإسقاط.. Стоимость услуги: مجانية (خلال الفترة التصحيحية)."
الجوازات,Russian,Каковы процедуры и сборы за تمديد تأشيرة خروج وعودة (خارج المملكة)?,"Чтобы завершить услугу تمديد تأشيرة خروج وعودة (خارج المملكة), выполните следующие действия: 1. الدخول لأبشر;2. خدمات التأشيرات;3. اختيار الشخص (خارج المملكة);4. طلب تمديد التأشيرة وسداد الرسوم.. Стоимость услуги: 100 ريال (للمفردة)."
الأحوال المدنية,Russian,Каковы процедуры и сборы за إصدار شهادة وفاة?,"Чтобы завершить услугу إصدار شهادة وفاة, выполните следующие действия: 1. الدخول لأبشر;2. خدمات الأحوال المدنية;3. شهادة الوفاة;4. استعراض بلاغات الوفاة المسجلة;5. تأكيد الإصدار والطباعة.. Стоимость услуги: مجانية."
الجوازات,Chinese,إصدار هوية مقيم的程序和费用是什么？,要完成إصدار هوية مقيم服务，请按照以下步骤操作：1. الدخول إلى منصة أبشر أعمال;2. اختيار خدمات أعمالي;3. اختيار إصدار الإقامة;4. اختيار العامل المطلوب;5. التأكد من البيانات وسداد الرسوم;6. تأكيد الإصدار.。服务费为：600 ريال (للعمالة المنزلية)، 650 ريال (للقطاع الخاص)。
الجوازات,Chinese,إصدار جواز بدل مفقود的程序和费用是什么？,要完成إصدار جواز بدل مفقود服务，请按照以下步骤操作：1. الدخول لأبشر;2. خدمات الجوازات;3. طلب جديد;4. إصدار جواز بدل مفقود;5. سداد الرسوم واختيار طريقة الاستلام.。服务费为：300 ريال (لمدة 5 سنوات)، 600 ريال (لمدة 10 سنوات)。
وزارة الداخلية,Chinese,تجديد الإقامة (أبشر أعمال)的程序和费用是什么？,要完成تجديد الإقامة (أبشر أعمال)服务，请按照以下步骤操作：1. تسجيل الدخول لأبشر أعمال;2. خدمات أعمالي;3. تجديد الإقامة;4. اختيار العامل وتحديد مدة التجديد;5. سداد الرسوم والتأكيد.。服务费为：متغيرة。
المرور,Chinese,مبايعة المركبات的程序和费用是什么？,要完成مبايعة المركبات服务，请按照以下步骤操作：1. دخول البائع لأبشر وتحديد المركبة والسعر;2. إدخال بيانات المشتري والحساب البنكي;3. قبول المشتري للطلب وتحويل المبلغ لحساب وسيط;4. سداد الرسوم والتأكيد.。服务费为：380 ريال。
الأحوال المدنية,Chinese,تسجيل المواليد的程序和费用是什么？,要完成تسجيل المواليد服务，请按照以下步骤操作：1. الدخول لأبشر;2. خدمات الأحوال المدنية;3. تسجيل المواليد;4. اختيار المولود;5. تأكيد البيانات وطلب التوصيل.。服务费为：مجانية (تطبق رسوم التوصيل)。
الأحوال المدنية,Chinese,تجديد الهوية الوطنية的程序和费用是什么？,要完成تجديد الهوية الوطنية服务，请按照以下步骤操作：1. الدخول لأبشر;2. خدماتي ثم الأحوال المدنية;3. تجديد الهوية الوطنية;4. رفع صورة شخصية مطابقة للمواصفات;5. سداد أجور التوصيل.。服务费为：مجانية (تطبق رسوم التوصيل)。
الأمن العام,Chinese,شهادة خلو سوابق的程序和费用是什么？,要完成شهادة خلو سوابق服务，请按照以下步骤操作：1. الدخول لأبشر;2. الخدمات العامة;3. تقارير أبشر;4. طلب شهادة خلو سوابق;5. سداد الرسوم واستعراض الشهادة.。服务费为：متغيرة。
المديرية العامة للسجون,Chinese,فرجت的程序和费用是什么？,要完成فرجت服务，请按照以下步骤操作：1. الدخول لأبشر أو منصة فرجت. 2. اختيار تصنيف الحالة (المنطقة، المبلغ). 3. الحصول على رقم فاتورة سداد. 4. المساهمة بالمبلغ عبر البنك.。服务费为：مجانية (الخدمة تبرعية)。
المرور,Chinese,نقل اللوحات的程序和费用是什么？,要完成نقل اللوحات服务，请按照以下步骤操作：1. تسجيل الدخول إلى أبشر. 2. اختيار المركبات ثم إدارة المركبات. 3. اختيار المركبة المعنية. 4. اختيار نقل اللوحات. 5. استكمال البيانات المطلوبة وتأكيد الطلب.。服务费为：مجانية (للتنفيذ الرقمي)。
الأحوال المدنية,Chinese,شهادة الميلاد الرقمية的程序和费用是什么？,要完成شهادة الميلاد الرقمية服务，请按照以下步骤操作：1. الدخول لأبشر واختيار الخدمات العامة. 2. اختيار التحقق من وثيقة رقمية. 3. اختيار شهادة ميلاد وإدخال البيانات. 4. عرض الوثيقة وطباعتها.。服务费为：مجانية。
الجوازات,Chinese,استعلام عن صلاحية التأشيرة的程序和费用是什么？,要完成استعلام عن صلاحية التأشيرة服务，请按照以下步骤操作：1. الدخول لمنصة أبشر;2. استعلامات الجوازات;3. صلاحية التأشيرة;4. إدخال رقم الإقامة ورقم التأشيرة.。服务费为：مجانية。
وزارة الداخلية,Chinese,استعلام عن البصمة的程序和费用是什么？,要完成استعلام عن البصمة服务，请按照以下步骤操作：1. الدخول لأبشر;2. استعلامات;3. استعلام عن البصمة;4. إدخال رقم الهوية والرمز المرئي.。服务费为：مجانية。
المرور,Chinese,إسقاط المركبات المهملة的程序和费用是什么？,要完成إسقاط المركبات المهملة服务，请按照以下步骤操作：1. الاستعلام عن المراكز المعتمدة في أبشر;2. تسليم المركبة واللوحات للمركز;3. إعطاء رمز التحقق للمركز لإتمام الإسقاط.。服务费为：مجانية (خلال الفترة التصحيحية)。
الجوازات,Chinese,تمديد تأشيرة خروج وعودة (خارج المملكة)的程序和费用是什么？,要完成تمديد تأشيرة خروج وعودة (خارج المملكة)服务，请按照以下步骤操作：1. الدخول لأبشر;2. خدمات التأشيرات;3. اختيار الشخص (خارج المملكة);4. طلب تمديد التأشيرة وسداد الرسوم.。服务费为：100 ريال (للمفردة)。
الأحوال المدنية,Chinese,إصدار شهادة وفاة的程序和费用是什么？,要完成إصدار شهادة وفاة服务，请按照以下步骤操作：1. الدخول لأبشر;2. خدمات الأحوال المدنية;3. شهادة الوفاة;4. استعراض بلاغات الوفاة المسجلة;5. تأكيد الإصدار والطباعة.。服务费为：مجانية。
الجوازات,Urdu,إصدار هوية مقيم کے طریقہ کار اور فیس کیا ہیں؟,إصدار هوية مقيم سروس مکمل کرنے کے لیے، ان اقدامات پر عمل کریں: 1. الدخول إلى منصة أبشر أعمال;2. اختيار خدمات أعمالي;3. اختيار إصدار الإقامة;4. اختيار العامل المطلوب;5. التأكد من البيانات وسداد الرسوم;6. تأكيد الإصدار.۔ سروس کی فیس ہے: 600 ريال (للعمالة المنزلية)، 650 ريال (للقطاع الخاص)۔
الجوازات,Urdu,إصدار جواز بدل مفقود کے طریقہ کار اور فیس کیا ہیں؟,إصدار جواز بدل مفقود سروس مکمل کرنے کے لیے، ان اقدامات پر عمل کریں: 1. الدخول لأبشر;2. خدمات الجوازات;3. طلب جديد;4. إصدار جواز بدل مفقود;5. سداد الرسوم واختيار طريقة الاستلام.۔ سروس کی فیس ہے: 300 ريال (لمدة 5 سنوات)، 600 ريال (لمدة 10 سنوات)۔
وزارة الداخلية,Urdu,تجديد الإقامة (أبشر أعمال) کے طریقہ کار اور فیس کیا ہیں؟,تجديد الإقامة (أبشر أعمال) سروس مکمل کرنے کے لیے، ان اقدامات پر عمل کریں: 1. تسجيل الدخول لأبشر أعمال;2. خدمات أعمالي;3. تجديد الإقامة;4. اختيار العامل وتحديد مدة التجديد;5. سداد الرسوم والتأكيد.۔ سروس کی فیس ہے: متغيرة۔
المرور,Urdu,مبايعة المركبات کے طریقہ کار اور فیس کیا ہیں؟,مبايعة المركبات سروس مکمل کرنے کے لیے، ان اقدامات پر عمل کریں: 1. دخول البائع لأبشر وتحديد المركبة والسعر;2. إدخال بيانات المشتري والحساب البنكي;3. قبول المشتري للطلب وتحويل المبلغ لحساب وسيط;4. سداد الرسوم والتأكيد.۔ سروس کی فیس ہے: 380 ريال۔
الأحوال المدنية,Urdu,تسجيل المواليد کے طریقہ کار اور فیس کیا ہیں؟,تسجيل المواليد سروس مکمل کرنے کے لیے، ان اقدامات پر عمل کریں: 1. الدخول لأبشر;2. خدمات الأحوال المدنية;3. تسجيل المواليد;4. اختيار المولود;5. تأكيد البيانات وطلب التوصيل.۔ سروس کی فیس ہے: مجانية (تطبق رسوم التوصيل)۔
الأحوال المدنية,Urdu,تجديد الهوية الوطنية کے طریقہ کار اور فیس کیا ہیں؟,تجديد الهوية الوطنية سروس مکمل کرنے کے لیے، ان اقدامات پر عمل کریں: 1. الدخول لأبشر;2. خدماتي ثم الأحوال المدنية;3. تجديد الهوية الوطنية;4. رفع صورة شخصية مطابقة للمواصفات;5. سداد أجور التوصيل.۔ سروس کی فیس ہے: مجانية (تطبق رسوم التوصيل)۔
الأمن العام,Urdu,شهادة خلو سوابق کے طریقہ کار اور فیس کیا ہیں؟,شهادة خلو سوابق سروس مکمل کرنے کے لیے، ان اقدامات پر عمل کریں: 1. الدخول لأبشر;2. الخدمات العامة;3. تقارير أبشر;4. طلب شهادة خلو سوابق;5. سداد الرسوم واستعراض الشهادة.۔ سروس کی فیس ہے: متغيرة۔
المديرية العامة للسجون,Urdu,فرجت کے طریقہ کار اور فیس کیا ہیں؟,فرجت سروس مکمل کرنے کے لیے، ان اقدامات پر عمل کریں: 1. الدخول لأبشر أو منصة فرجت. 2. اختيار تصنيف الحالة (المنطقة، المبلغ). 3. الحصول على رقم فاتورة سداد. 4. المساهمة بالمبلغ عبر البنك.۔ سروس کی فیس ہے: مجانية (الخدمة تبرعية)۔
المرور,Urdu,نقل اللوحات کے طریقہ کار اور فیس کیا ہیں؟,نقل اللوحات سروس مکمل کرنے کے لیے، ان اقدامات پر عمل کریں: 1. تسجيل الدخول إلى أبشر. 2. اختيار المركبات ثم إدارة المركبات. 3. اختيار المركبة المعنية. 4. اختيار نقل اللوحات. 5. استكمال البيانات المطلوبة وتأكيد الطلب.۔ سروس کی فیس ہے: مجانية (للتنفيذ الرقمي)۔
الأحوال المدنية,Urdu,شهادة الميلاد الرقمية کے طریقہ کار اور فیس کیا ہیں؟,شهادة الميلاد الرقمية سروس مکمل کرنے کے لیے، ان اقدامات پر عمل کریں: 1. الدخول لأبشر واختيار الخدمات العامة. 2. اختيار التحقق من وثيقة رقمية. 3. اختيار شهادة ميلاد وإدخال البيانات. 4. عرض الوثيقة وطباعتها.۔ سروس کی فیس ہے: مجانية۔
الجوازات,Urdu,استعلام عن صلاحية التأشيرة کے طریقہ کار اور فیس کیا ہیں؟,استعلام عن صلاحية التأشيرة سروس مکمل کرنے کے لیے، ان اقدامات پر عمل کریں: 1. الدخول لمنصة أبشر;2. استعلامات الجوازات;3. صلاحية التأشيرة;4. إدخال رقم الإقامة ورقم التأشيرة.۔ سروس کی فیس ہے: مجانية۔
وزارة الداخلية,Urdu,استعلام عن البصمة کے طریقہ کار اور فیس کیا ہیں؟,استعلام عن البصمة سروس مکمل کرنے کے لیے، ان اقدامات پر عمل کریں: 1. الدخول لأبشر;2. استعلامات;3. استعلام عن البصمة;4. إدخال رقم الهوية والرمز المرئي.۔ سروس کی فیس ہے: مجانية۔
المرور,Urdu,إسقاط المركبات المهملة کے طریقہ کار اور فیس کیا ہیں؟,إسقاط المركبات المهملة سروس مکمل کرنے کے لیے، ان اقدامات پر عمل کریں: 1. الاستعلام عن المراكز المعتمدة في أبشر;2. تسليم المركبة واللوحات للمركز;3. إعطاء رمز التحقق للمركز لإتمام الإسقاط.۔ سروس کی فیس ہے: مجانية (خلال الفترة التصحيحية)۔
الجوازات,Urdu,تمديد تأشيرة خروج وعودة (خارج المملكة) کے طریقہ کار اور فیس کیا ہیں؟,تمديد تأشيرة خروج وعودة (خارج المملكة) سروس مکمل کرنے کے لیے، ان اقدامات پر عمل کریں: 1. الدخول لأبشر;2. خدمات التأشيرات;3. اختيار الشخص (خارج المملكة);4. طلب تمديد التأشيرة وسداد الرسوم.۔ سروس کی فیس ہے: 100 ريال (للمفردة)۔
الأحوال المدنية,Urdu,إصدار شهادة وفاة کے طریقہ کار اور فیس کیا ہیں؟,إصدار شهادة وفاة سروس مکمل کرنے کے لیے، ان اقدامات پر عمل کریں: 1. الدخول لأبشر;2. خدمات الأحوال المدنية;3. شهادة الوفاة;4. استعراض بلاغات الوفاة المسجلة;5. تأكيد الإصدار والطباعة.۔ سروس کی فیس ہے: مجانية۔
